;;Name (click to view profile);Date;Likes;Comment;(view source)
241;;shitty khan;22.06.19 09:53:04;0;Who else want MICHAEL PENNIA and DEADPOOL in DEADPOOL - 3;view comment
242;;tara ss;22.06.19 09:53:04;2;What annoyed me more about this movie was not the annoying stereotypical Indian guy but the fact that nobody spoke about him at all like it was ignorant af. No Indian relate to him Americans relate to him more I am sure since only they understand an Indian guy like this one we haven't really come across such exaggerated, head bopping, weird Indian guys who look like they're retarded.;view comment
243;;??c Hi?u;22.06.19 09:53:04;2;so, time travel huh ?;view comment
244;;Brandon Drew;22.07.19 09:53:04;0;stupid;view comment
245;;Ixi A;22.07.19 09:53:04;0;Give him Oskar;view comment
246;;Kazuki Kirigaya;22.07.19 09:53:04;0;Maybe Deadpool will find a way to travel to the MCU in his own ways.;view comment
247;;Muhammad Sukma Akbar;22.07.19 09:53:04;0;Fortune ?;view comment
248;;Panbot Bot;22.07.19 09:53:04;0;bbenmofmxu;view comment
249;;Panbot Bot;22.07.19 09:53:04;0;chcmsuysam;view comment
250;;Panbot Bot;22.07.19 09:53:04;0;cnddipdbes;view comment
251;;Panbot Bot;22.07.19 09:53:04;0;fuzrbmmjet;view comment
252;;Panbot Bot;22.07.19 09:53:04;0;fvlvpwnond;view comment
253;;Panbot Bot;22.07.19 09:53:04;0;gaihvynogx;view comment
;253-1;Taco 77;22.07.19 09:53:04;0;Panbot Bot are you ok;view comment
254;;Panbot Bot;22.07.19 09:53:04;0;huupzodeqq;view comment
255;;Panbot Bot;22.07.19 09:53:04;0;jokeudhdvs;view comment
256;;Panbot Bot;22.07.19 09:53:04;0;jomjosgfei;view comment
257;;Panbot Bot;22.07.19 09:53:04;0;ksidolciip;view comment
258;;Panbot Bot;22.07.19 09:53:04;0;kxihknalur;view comment
259;;Panbot Bot;22.07.19 09:53:04;0;onshhwrgfb;view comment
260;;Panbot Bot;22.07.19 09:53:04;0;razpnqsody;view comment
261;;Panbot Bot;22.07.19 09:53:04;0;rdfhzpmimo;view comment
262;;Panbot Bot;22.07.19 09:53:04;0;spuwiyhuru;view comment
263;;Panbot Bot;22.07.19 09:53:04;0;sszdsejuyf;view comment
264;;Panbot Bot;22.07.19 09:53:04;0;synnnhhitl;view comment
265;;Panbot Bot;22.07.19 09:53:04;0;vfsnehrlul;view comment
266;;Panbot Bot;22.07.19 09:53:04;0;vlzuiyuphr;view comment
267;;Simeon Mayanja;22.07.19 09:53:04;0;Deadpool is a Cesspool.;view comment
268;;Squiddy7272 Gaming;22.07.19 09:53:04;4;Read the description ?;view comment
269;;The walking dead Seasons 9 and 10;22.07.19 09:53:04;0;I the 2nd one is more better then the 1st to me;view comment
270;;Wolvesfan 123;22.07.19 09:53:04;2;Dopinda is ma G;view comment
271;;candy brown;22.07.19 09:53:04;0;Did you know that. Then the trailer came out After the movie;view comment
272;;hafis dwihardana;22.07.19 09:53:04;0;bagus;view comment
273;;jorge cameras lopez1;22.07.19 09:53:04;1;Marvel Deadpool México 2019;view comment
274;;phil mortlock;22.07.19 09:53:04;0;This is a great funny movies. woke asf the left should adopt this kind of liberal sound bite crap instead of assuring Trump 2020 MAGA baby.;view comment
275;;Ajwad Ahmed;22.08.19 09:53:04;0;Blacks are black  Blues are blue  Don't be racist  This movie is inside me too.;view comment
276;;Angel Meneses;22.08.19 09:53:04;0;I can’t believe it’s been a year since the movie hit theaters;view comment
277;;Daman Kaur;22.08.19 09:53:04;7;Ryan Renolds Is Not Playing The Role Of DeadPool. Ryan Renolds Is DeadPool;view comment
278;;Drunk Woomy;22.08.19 09:53:04;0;What in the fucksickle is this?;view comment
279;;Hassoum Badji;22.08.19 09:53:04;2;We miss some characters like feral and boom-boom Feral:maria callasantos Boom-boom:tabitha smith;view comment
280;;High Off Gun Powder;22.08.19 09:53:04;0;Pg 13? No thanks;view comment
281;;I Am Back Better Than Ever;22.08.19 09:53:04;0;If you watch this trailer in reverse  then my friend you have seen the whole movie ?;view comment
282;;Ibrahim Mohammed;22.08.19 09:53:04;0;My favorite superhero ???? ????;view comment
283;;Inhuman;22.08.19 09:53:04;0;Doctor Strange and the Multiverse of Madness will bring Deadpool into the MCU. Change my mind.;view comment
